会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL,日時,連絡禁止,初回アポ済み
株式会社Mizkan Holdings,林亮人,0569-21-3331,akihito_hayashi@mizkan.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000279.000065533.html,2023-05-22 03:17:04,"",""
株式会社丸山珈琲,"",0267-26-5556,　official@maruyamacoffee.com,グルメ,https://prtimes.jp/main/html/rd/p/000000120.000024955.html,2023-05-22 03:17:40,"",""
グランド ハイアット 東京,津曲、小山、和泉,"",grand-hyatt-tokyo@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000229.000030821.html,2023-05-22 03:18:13,"",""
株式会社サラダクラブ,"","",. info@saladclub.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000081.000060855.html,2023-05-22 03:18:49,"",""
株式会社ミッションコンプ,大窪拓未,03-6416-9029,okubo@mission-comp.com,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000075494.html,2023-05-22 03:21:49,"",""
株式会社ネクストクリエイション,直通電話番号：090-8108-4747,03-6417-0761,miyazawa-t@nextcreation.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121750.html,2023-05-22 03:22:28,"",""
株式会社TeaRoom,"",050-1432-8320,info@tearoom.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000026.000038444.html,2023-05-22 03:23:07,"",""
株式会社温故知新,新井、田上,"",pr@okcs.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000118716.html,2023-05-22 03:24:48,"",""
フジッコ株式会社,イノベーションセンター　素材事業部 　課長 平澤　素王,078-303-5911,s-hirasawa@fujicco.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000011.000099964.html,2023-05-22 03:25:19,"",""
キリンビール株式会社,"","",kirinbeer.pr@materialpr.jp 担当: 鈴木(070-7789-2803)/ 有山(070-4540-7708),グルメ,https://prtimes.jp/main/html/rd/p/000000037.000049800.html,2023-05-22 03:27:04,"",""
株式会社ラスイート,"","",press.release@l-s.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000265.000024670.html,2023-05-22 03:27:42,"",""
岩泉ホールディングス株式会社,坂下,0194-32-3008,sakashita@iwaizumilk.co.jp FAX：0194-32-3009,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000113856.html,2023-05-22 03:28:22,"",""
株式会社スープストックトーキョー,蓑毛（みのも）、平田,"",sst-press@smiles.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000070.000062610.html,2023-05-22 03:28:59,"",""
株式会社HyLife Pork Japan,"","",hylifepork@hylife.com,グルメ,https://prtimes.jp/main/html/rd/p/000000022.000071240.html,2023-05-22 03:30:17,"",""
株式会社ノンピ,坂本いずみ,03-5725-8905,sakamotoi@nonpi.com,グルメ,https://prtimes.jp/main/html/rd/p/000000241.000036259.html,2023-05-22 03:30:51,"",""
Neutral Case,"",090-4468-9825,info@neutralcase.com,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000120098.html,2023-05-22 03:31:29,"",""
株式会社 Mr. CHEESECAKE,"","",press@mr-cheesecake.com,グルメ,https://prtimes.jp/main/html/rd/p/000000096.000047371.html,2023-05-22 03:32:11,"",""
株式会社ブランジスタ,田口、佐々木,03-6415-1183,press@brangista.com,グルメ,https://prtimes.jp/main/html/rd/p/000000048.000008669.html,2023-05-22 03:32:48,"",""
スリーボンド貿易株式会社,"",03-5447-6991,k-mizutani@threebond.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000012.000047328.html,2023-05-22 03:33:53,"",""
株式会社銀の森コーポレーション,"",0573-64-2501,r-maeda@ginnomori.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000038.000105650.html,2023-05-22 03:34:24,"",""
ベネリック株式会社,"",03-6811-0915,pr@benelic.com,グルメ,https://prtimes.jp/main/html/rd/p/000001379.000022901.html,2023-05-22 03:35:16,"",""
株式会社イートファクトリーホールディングス,東田（ひがしだ）・東（あずま）,06-6356-1601,media-s@eat-factory.com,グルメ,https://prtimes.jp/main/html/rd/p/000000007.000092563.html,2023-05-22 03:38:23,"",""
株式会社　椿宗善,: 山田美津子(やまだみつこ),0776-82-8860,. mitsuko.yamda@adessox.com　Mobile. 070-4690-6810,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000115689.html,2023-05-22 03:38:56,"",""
合同会社あんてなジャパン,鈴木有美,03-6824-3054,info@atn365.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000012.000079142.html,2023-05-22 03:40:56,"",""
有限会社カスターニャ,竹内　香穂里,082-883-0960,Info@castagna.co.jp　FAX：082-883-0961,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000114320.html,2023-05-22 03:41:35,"",""
京阪ホテルズ＆リゾーツ株式会社,／ ブランド企画室,075-351-0337,press@keihanhotels-resorts.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000270.000083761.html,2023-05-22 03:43:25,"",""
シャディ株式会社,"",03-5400-5800,pr@shaddy.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000046.000078929.html,2023-05-22 03:44:01,"",""
ハイアット セントリック 銀座 東京,"",03-6837-1234,hyattcentricginza@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000066.000035058.html,2023-05-22 03:45:49,"",""
株式会社ブロンコビリー,"","",bbpr@bronco.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000117.000027084.html,2023-05-22 03:47:04,"",""
日本コカ・コーラ株式会社,岩崎　島田　鵜川,03-5466-8000,fanta_pr@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000819.000001735.html,2023-05-22 03:47:45,"",""
株式会社トラストバンク,田中、永田、宗形、花堂、木原,03-5784-1089,asxsyo@ana-aki:ndo.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001000.000026811.html,2023-05-22 03:51:08,"",""
東急ホテルズ＆リゾーツ株式会社,稲塚・石丸まで,03-3477-6566,h.inatsuka@tpfh.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000002709.000005113.html,2023-05-22 03:51:46,"",""
株式会社ニュー・オータニ,"",03-3265-1111,m-hamakawa@newotani.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000002314.000014571.html,2023-05-22 03:53:39,"",""
ＪＲ九州ファーストフーズ株式会社,"",092-451-2054,t.motoki@jrff.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000105.000046925.html,2023-05-22 03:56:01,"",""
株式会社 FOOD LIBRARY,難波(なんば）,03-5547-4751,namba@food-library.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000010.000075670.html,2023-05-22 03:57:12,"",""
有限会社コンテンポラリープランニングセンター,清水・横田,03-5412-8158,press@cpcenter.net,グルメ,https://prtimes.jp/main/html/rd/p/000000279.000014421.html,2023-05-22 03:57:51,"",""
株式会社山本商店,"",078-331-3155,yamada@h-yamamoto.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000105.000066896.html,2023-05-22 03:58:33,"",""
レッドホースコーポレーション株式会社,見原（みはら）,"",service-info@redhorse.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000297.000048395.html,2023-05-22 03:59:48,"",""
株式会社柴田屋ホールディングス,大貫,"",ohnuki@shibataya.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000018.000051815.html,2023-05-22 04:00:22,"",""
株式会社　大丸松坂屋百貨店,　森本千優　樋口陽子　平賀聡子,03-6895-0776,chihiro.morimoto@jfr.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001909.000025003.html,2023-05-22 04:00:55,"",""
株式会社石澤研究所,"",03-3796-2821,pr@ishizawa-lab.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000459.000001572.html,2023-05-22 04:02:49,"",""
株式会社紀ノ國屋,"",03-5946-8555,info@e-kinokuniya.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000125.000055282.html,2023-05-22 04:04:44,"",""
学校法人村川学園,"",0725-45-6000,info_ty@yamanote.ac.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000026.000056638.html,2023-05-22 04:07:14,"",""
eBay Japan合同会社,JP Comms　吉田,03-6736-5997,080-6544-1977,グルメ,https://prtimes.jp/main/html/rd/p/000000545.000022933.html,2023-05-22 04:09:38,"",""
株式会社 オペレーションファクトリー,/ 谷川 友規,06-6535-9006,tanigawa@opefac.com,グルメ,https://prtimes.jp/main/html/rd/p/000000589.000026745.html,2023-05-22 04:10:49,"",""
株式会社ドミノ・ピザ　ジャパン,"","",dominospizza_pr@signalinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000270.000029053.html,2023-05-22 04:11:59,"",""
株式会社京都産業振興センター,立石,"",press@miyakomesse.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000060.000077909.html,2023-05-22 04:12:36,"",""
株式会社Cqree,"",03-6447-7971,support@catering-selection.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000075.000080059.html,2023-05-22 04:14:22,"",""
株式会社倉敷ぎょうざ本舗,"",086-476-3456,kurashiki-gyoza@orion.ocn.ne.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000122099.html,2023-05-22 04:16:12,"",""
株式会社IDENTITY,"","",tsuboimo@identity.city,グルメ,https://prtimes.jp/main/html/rd/p/000000045.000022216.html,2023-05-22 04:16:47,"",""
株式会社セクションエイト,渡邉,03-5447-8806,kouhousection@gmail.com,グルメ,https://prtimes.jp/main/html/rd/p/000000177.000037097.html,2023-05-22 04:18:37,"",""
CHANTMEAL株式会社,"",075-744-1734,info@chantmeal.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000061846.html,2023-05-22 04:19:53,"",""
株式会社フェリシモ,"",078-325-5555,press@felissimo.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000003038.000012759.html,2023-05-22 04:25:22,"",""
株式会社HACO LiB,"",0944-43-3330,info@hacolib.com,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000116072.html,2023-05-22 04:25:59,"",""
株式会社ライスカレー,武谷（たけや）,03-6451-1529,info@ricecurry.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000105.000019306.html,2023-05-22 04:26:41,"",""
一正蒲鉾株式会社,"",025-270-7111,nao-miyasaka@ichimasa.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000074.000054246.html,2023-05-22 04:27:53,"",""
株式会社ロイヤルホテル,"",06-6448-1121,kanako.ueda@rihga.co.jp（上田）,グルメ,https://prtimes.jp/main/html/rd/p/000001429.000016682.html,2023-05-22 04:29:07,"",""
KURAND株式会社,遠山,"",a-tohyama@kurand.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000282.000006894.html,2023-05-22 04:29:45,"",""
日本ミシュランタイヤ株式会社,"","",michelin-pr@kyodo-pr.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000117133.html,2023-05-22 04:34:31,"",""
ナッシュ株式会社,"",06-6121-6243,press@nosh.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000283.000054946.html,2023-05-22 04:37:12,"",""
株式会社TAKホスピタリティ京都,李 紀哲 ・ 塔本 真弓,075-531-1234,parkhyatt.kyoto@hyatt.com,グルメ,https://prtimes.jp/main/html/rd/p/000000024.000070995.html,2023-05-22 04:37:52,"",""
株式会社　萬坊,田口（タグチ）・松尾（マツオ）,0955-82-4888,info@manbou.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000005.000060445.html,2023-05-22 04:38:27,"",""
株式会社東京ドーム,"",03-3811-2111,prg@gms.tokyo-dome.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000151.000077656.html,2023-05-22 04:39:05,"",""
株式会社MTG,田川,052-307-7890,info@beauty-connection.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000494.000029736.html,2023-05-22 04:41:01,"",""
株式会社スナックミー,草野,"",pr@snaq.me,グルメ,https://prtimes.jp/main/html/rd/p/000000163.000031067.html,2023-05-22 04:43:31,"",""
株式会社いちやまマート,社長室　三科（みしな）,055-278-6000,y-mishina@ichiyamamart.com,グルメ,https://prtimes.jp/main/html/rd/p/000000011.000116581.html,2023-05-22 04:44:15,"",""
株式会社オニオン新聞社,"",043-201-8811,yusuke.hashimoto@onionnews.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000133.000053539.html,2023-05-22 04:45:29,"",""
白鶴酒造株式会社,"",078-822-8901,koho@hakutsuru.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000177.000013868.html,2023-05-22 04:48:08,"",""
株式会社プラスワイズ,"",0256-39-0084,haga@plusys.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000121366.html,2023-05-22 04:50:33,"",""
カンロ株式会社,五十嵐・内藤・石井,03-3370-8811,info@kmcpr.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000394.000041274.html,2023-05-22 04:51:43,"",""
株式会社Mizkan Holdings,"",0569-21-3331,pr_corporate@mizkan.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000278.000065533.html,2023-05-22 04:53:33,"",""
株式会社ダイセル,福田,06-7639-7171,healthcare_info@jp.daicel.com,グルメ,https://prtimes.jp/main/html/rd/p/000000135.000035577.html,2023-05-22 04:54:10,"",""
SFPホールディングス株式会社,三石,03-5491-5201,pr@sfpdining.jp　FAX：03-5491-5202,グルメ,https://prtimes.jp/main/html/rd/p/000000066.000013133.html,2023-05-22 04:54:45,"",""
株式会社　小田急レストランシステム,"","",ors-soumu@odakyu-restaurant.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000147.000042301.html,2023-05-22 04:56:39,"",""
ヒルトン広島,"",08-2243-2700,momoko.gonohe@hilton.com,グルメ,https://prtimes.jp/main/html/rd/p/000000018.000087710.html,2023-05-22 04:57:17,"",""
株式会社ホテルマネージメントジャパン,和田、西田,03-6422-0510,contact_others@hmjkk.co.jp　TEL：03-6422-0510（代表）（平日10:00~17:00）,グルメ,https://prtimes.jp/main/html/rd/p/000001332.000016207.html,2023-05-22 04:57:52,"",""
株式会社MARU,西野,03-6416-5455,candy@maru-inc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000068.000046377.html,2023-05-22 04:59:11,"",""
ロイヤルホールディングス株式会社,閔（080-3711-9270）、高田（080-4460-8139）、牧田（090-9152-6347）、一瀬,03-5707-8852,royalhd@ssu.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000265.000071323.html,2023-05-22 04:59:43,"",""
株式会社柿安本店,"",03-5759-0769,press@kakiyasuhonten.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000118723.html,2023-05-22 05:00:18,"",""
株式会社農心ジャパン,マーケティング部　高木,03-3595-0882,takaki@nongshim.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000023.000099515.html,2023-05-22 05:01:00,"",""
株式会社イートアンドホールディングス,"",03-5769-5050,eat-press@eat-and.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000690.000010329.html,2023-05-22 05:02:14,"",""
株式会社サンリオ,"","",pr-media@sanrio.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000496.000037629.html,2023-05-22 05:04:02,"",""
カルチュア・コンビニエンス・クラブ株式会社（CCC ART LAB）,⽊下,03-3575-7755,pr_cccal@ccc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000562.000058854.html,2023-05-22 05:04:41,"",""
株式会社ローソンストア１００,（池内・森口）　電話：044-201-8453,044-201-7001,e.tomoko.ikeuchi.e5m@law002.lawson.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000391.000025635.html,2023-05-22 05:05:18,"",""
株式会社クラブハリエ,"","",press@taneya.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000006.000112029.html,2023-05-22 05:05:56,"",""
大東企業株式会社,木村,03-6260-9005,kimura@daitohkigyo.com,グルメ,https://prtimes.jp/main/html/rd/p/000000021.000088584.html,2023-05-22 05:06:30,"",""
森トラスト・ホテルズ＆リゾーツ株式会社,釜中,03-6409-2811,press@fuji-marriott.com,グルメ,https://prtimes.jp/main/html/rd/p/000001136.000006521.html,2023-05-22 05:09:29,"",""
株式会社サンパーク,南　充剛(みなみ),06-6388-0389,minami@sunpark.ne.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000150.000037579.html,2023-05-22 05:10:42,"",""
株式会社ロイヤルパークホテルズアンドリゾーツ,木村・若井・小野田,03-6773-1860,pr-hak@rphs.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000547.000039557.html,2023-05-22 05:11:24,"",""
有楽製菓株式会社,北島,042-341-1811,pr.mk@yurakuseika.co.jp　FAX：042-345-0601,グルメ,https://prtimes.jp/main/html/rd/p/000000138.000064626.html,2023-05-22 05:15:02,"",""
株式会社レインズインターナショナル,"","",pr@reins.co.jp　TEL：045-224-7200　FAX：045-224-7201,グルメ,https://prtimes.jp/main/html/rd/p/000000341.000018604.html,2023-05-22 05:16:15,"",""
株式会社プレナス,森田・矢島・小林・渡邉,03-3289-8311,plenus2021@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000400.000054093.html,2023-05-22 05:16:53,"",""
株式会社JR東日本クロスステーション,"","",pr-wb@jr-cross.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000359.000082978.html,2023-05-22 05:17:30,"",""
株式会社エビソル,"",03-4405-4041,info@ebisol.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000078.000011690.html,2023-05-22 05:18:05,"",""
株式会社オークラ ニッコー ホテルマネジメント,南、中村,03-6685-8995,: pr@nikkonara.jp,グルメ,https://prtimes.jp/main/html/rd/p/000003040.000002213.html,2023-05-22 05:18:39,"",""
築野食品工業株式会社,"",0736-22-0061,pr@tsuno.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000088.000027263.html,2023-05-22 05:19:13,"",""
キングソフト株式会社,武田、花田,03-4226-8230,press@kingsoft.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000228.000013957.html,2023-05-22 05:19:50,"",""
株式会社ＭＩＬＩＺＥ,正木,03-4500-1311,info@milize.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000141.000034351.html,2023-05-22 05:23:41,"",""
株式会社　大丸松坂屋百貨店,長谷川眞之,03-6895-0776,masayuki.hasegawa@jfr.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001881.000025003.html,2023-05-22 05:24:54,"",""
一般社団法人　新上五島町観光物産協会,海部裕子,0959-42-0964,y.kaibe@shinkami510.com,グルメ,https://prtimes.jp/main/html/rd/p/000000032.000079581.html,2023-05-22 05:26:11,"",""
株式会社Mellow,小関、城後,"",pr@mellow.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000115.000031879.html,2023-05-22 05:27:26,"",""
nowhere株式会社,小野田,03-6416-4018,contact@nowhere-inc.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000090757.html,2023-05-22 05:28:05,"",""
株式会社京はやしや,オンライン事業部（吉本）,"","hokan@kyo-hayashiya.com, yoshimoto@kyo-hayashiya.com　FAX：03-5546-1106",グルメ,https://prtimes.jp/main/html/rd/p/000000041.000090362.html,2023-05-22 05:28:41,"",""
株式会社　資生堂パーラー,"",03-3572-2121,toyofumi.yamagishi@shiseido.com,グルメ,https://prtimes.jp/main/html/rd/p/000000657.000006543.html,2023-05-22 05:29:18,"",""
株式会社dinii,信原,"",pr@dinii@jp,グルメ,https://prtimes.jp/main/html/rd/p/000000051.000043056.html,2023-05-22 05:31:06,"",""
株式会社カトープレジャーグループ,川口,03-3548-8090,hakatarou@imd-a.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000051.000050120.html,2023-05-22 05:31:40,"",""
株式会社ロッテ,齋藤・山田・奥,"",lotte_kamukoto_pr@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000008.000110734.html,2023-05-22 05:32:17,"",""
株式会社chillmate,"","",info@chillmate.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121733.html,2023-05-22 05:33:31,"",""
ふくしまみらいチャレンジプロジェクト事務局,今井・小林,"",fukushimamirai@re-jpn.com TEL：03-6883-0613,グルメ,https://prtimes.jp/main/html/rd/p/000000056.000082625.html,2023-05-22 05:34:43,"",""
サントリー株式会社,］小畠：070-8792-1092／松本：070-2492-4271,"",bp2-1g@materialpr.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000119510.html,2023-05-22 05:35:56,"",""
株式会社ネイキッド,"",03-5790-5191,pr@naked.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000894.000008210.html,2023-05-22 05:37:10,"",""
株式会社Taste and Logic,"","",nagara.pr@taste-logic.com,グルメ,https://prtimes.jp/main/html/rd/p/000000007.000101037.html,2023-05-22 05:37:55,"",""
株式会社フェアウェイソリューションズ,"",03-5822-6511,info@fw-solutions.com,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000116111.html,2023-05-22 05:38:30,"",""
株式会社魁力屋,営業企画部 原,075-211-3338,rina.hara@kairikiya.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000103.000019478.html,2023-05-22 05:39:08,"",""
詩の国秋田株式会社,伊藤・藤田,"",soumu@shinokuni-akita.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000016.000090216.html,2023-05-22 05:40:22,"",""
株式会社カネカサンスパイス,小川,06-6306-2133,Shiro.Ogawa@kaneka.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000014.000076534.html,2023-05-22 05:41:16,"",""
ワンズトライン株式会社,"",06-6136-4870,support@onestryin.com,グルメ,https://prtimes.jp/main/html/rd/p/000000107.000061742.html,2023-05-22 05:41:55,"",""
株式会社サンライズ,小高　美由紀,"",kodaka@sunrise.tokyo.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000056.000030468.html,2023-05-22 05:43:56,"",""
ヤマサ蒲鉾株式会社,成長戦略室　八軒雄大,079-335-3555,t.hachiken@e-yamasa.com,グルメ,https://prtimes.jp/main/html/rd/p/000000019.000110726.html,2023-05-22 05:44:31,"",""
サントリーホールディングス株式会社,］都築（070-7537-0732）、松本（070-2492-4271）,"",bp2-1g@materialpr.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000111553.html,2023-05-22 05:45:39,"",""
株式会社アーシュ・ツジグチ,"","",miyamoto@ms-clair.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000043.000112848.html,2023-05-22 05:46:15,"",""
株式会社阪急阪神百貨店,"",06-6361-1381,hankyupr@hankyu-hanshin-dept.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001489.000014431.html,2023-05-22 05:50:01,"",""
公益財団法人塩事業センター,"",03-5743-7711,hp-answer-a@shiojigyo.or.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000120108.html,2023-05-22 05:50:31,"",""
株式会社シュクレイ,"",03-6455-4105,info@sucrey.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000856.000016051.html,2023-05-22 05:51:46,"",""
アイルランド政府食糧庁（ボード・ビア）,"",03-6261-6050,bordbia@candlewick.co.jp TEL：03-6261-6050,グルメ,https://prtimes.jp/main/html/rd/p/000000011.000049060.html,2023-05-22 05:53:43,"",""
株式会社リディファインダイニング,登神　達朗,03-6433-7427,080-3700-9226,グルメ,https://prtimes.jp/main/html/rd/p/000000050.000024012.html,2023-05-22 05:54:56,"",""
株式会社アップスター,山田湧暉）,090-8399-2990,info.afternoonteabustour@upstar.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000068.000067866.html,2023-05-22 05:55:36,"",""
株式会社ファイブフォックス,松浦,"",y-matsuura@cafe-commeca.co.jp　FAX：03-3746-8855,グルメ,https://prtimes.jp/main/html/rd/p/000000905.000014225.html,2023-05-22 05:56:10,"",""
ぴあ株式会社,　陳之内（ベンチャー広報）,03-5772-5200,pr@yuapan.com,グルメ,https://prtimes.jp/main/html/rd/p/000002649.000011710.html,2023-05-22 05:56:45,"",""
株式会社エフコム,"",0263-87-7811,info@fcomjp.com　FAX：0263-87-7812,グルメ,https://prtimes.jp/main/html/rd/p/000000010.000029910.html,2023-05-22 05:57:18,"",""
ワンズトライン株式会社,"",06-6136-4870,yamauchi@onestryin.com,グルメ,https://prtimes.jp/main/html/rd/p/000000108.000061742.html,2023-05-22 05:58:00,"",""
株式会社つぎと,"","",info@tsugito.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000012.000083746.html,2023-05-22 05:58:38,"",""
森トラスト・ホテルズ＆リゾーツ株式会社,吉住、谷口,03-6409-2811,press@karuizawa-marriott.com,グルメ,https://prtimes.jp/main/html/rd/p/000001135.000006521.html,2023-05-22 05:59:14,"",""
株式会社プロントコーポレーション,"","",kouhou@pronto.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000170.000018877.html,2023-05-22 05:59:49,"",""
株式会社フォーシーズ,三好、鈴木、土屋、根本,"",fourseeds-pr@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000678.000002646.html,2023-05-22 06:01:05,"",""
株式会社鈴廣蒲鉾本店,　　担当 ： 田口 / 奥村,0465-24-3141,koho@kamaboko.com,グルメ,https://prtimes.jp/main/html/rd/p/000000058.000044581.html,2023-05-22 06:01:44,"",""
株式会社ドトールコーヒー,"",03-5459-9053,news-release@doutor.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000356.000008784.html,2023-05-22 06:02:54,"",""
株式会社丸山珈琲,"",0267-26-5556,official@maruyamacoffee.com,グルメ,https://prtimes.jp/main/html/rd/p/000000119.000024955.html,2023-05-22 06:03:29,"",""
カッパ・クリエイト株式会社,赤坂、渡邉、中根,045-224-7095,kappa@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000603.000018731.html,2023-05-22 06:06:32,"",""
株式会社 船昌,"",03-5492-3429,pr@funasho-group.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000005.000111618.html,2023-05-22 06:07:10,"",""
株式会社昭宝製菓,岩崎,0761-74-5011,pr@punini.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000088814.html,2023-05-22 06:09:47,"",""
松井酒造合名会社,"","",info@matsuiwhisky.com,グルメ,https://prtimes.jp/main/html/rd/p/000000032.000045998.html,2023-05-22 06:11:05,"",""
MHD モエ ヘネシー ディアジオ株式会社,金子(070-3197-6111)、久保薗,03-5217-9777,mhd_pr@ssu.co.jp　TEL：03-6894-3200　FAX：03-5413-3050,グルメ,https://prtimes.jp/main/html/rd/p/000000615.000006986.html,2023-05-22 06:12:14,"",""
株式会社エー・ピーホールディングス,上原,03-6435-9663,pr@ap-holdings.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000440.000004635.html,2023-05-22 06:12:57,"",""
株式会社フロジャポン,マーケティング部,0422-37-5267,bonjour@flojapon.co.jp　FAX：0422-37-5268,グルメ,https://prtimes.jp/main/html/rd/p/000000041.000102606.html,2023-05-22 06:14:08,"",""
株式会社Hokkaido Products,中村,"",info@hokkaido-products.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000044424.html,2023-05-22 06:16:00,"",""
アパホテル株式会社,"",03-5570-2111,sec@apa.co.jp 　URL：www.apa.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000585.000018265.html,2023-05-22 06:16:38,"",""
大塚製薬株式会社,（ADK内）：佐伯,"",akane.saeki@adk.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000016.000054245.html,2023-05-22 06:17:49,"",""
バカルディ・ジャパン株式会社,"",03-5843-0672,info@sm-entertainment.jp(平日10:00~19:00),グルメ,https://prtimes.jp/main/html/rd/p/000000074.000001172.html,2023-05-22 06:19:10,"",""
