会社名,prtimesのURL,メールアドレス,電話番号,担当者,カテゴリ,日時,連絡禁止,初回アポ済み
glafit株式会社,https://prtimes.jp/main/html/rd/p/000000054.000031007.html,pr@glafit.com,"",安藤,ライフスタイル,2023-07-07 10:46:44,"",""
加森観光株式会社,https://prtimes.jp/main/html/rd/p/000000024.000046246.html,aoki@ageimo.com,011-222-3088,　陳野原 功輝,ライフスタイル,2023-07-07 10:46:51,"",""
学校法人早稲田大学,https://prtimes.jp/main/html/rd/p/000000016.000065365.html,cds-info@list.waseda.jp,"","",ライフスタイル,2023-07-07 10:46:58,"",""
みらいマルシェ株式会社,https://prtimes.jp/main/html/rd/p/000000004.000107041.html,contact@miraimarche.com,03-6403-7556,土屋,ライフスタイル,2023-07-07 10:48:37,"",""
タカノフーズ株式会社,https://prtimes.jp/main/html/rd/p/000000011.000024669.html,akihiko-watanabe@eau-rouge50.com,"",渡辺,ライフスタイル,2023-07-07 10:49:29,"",""
株式会社ジャルパック,https://prtimes.jp/main/html/rd/p/000000641.000003269.html,pr_jalpak@ml.jal.com,03-5715-8120,原口,ライフスタイル,2023-07-07 10:49:54,"",""
株式会社グローバルトラストネットワークス,https://prtimes.jp/main/html/rd/p/000000058.000054071.html,promo@gtn.co.jp,03-6804-6801,加藤,ライフスタイル,2023-07-07 10:50:05,"",""
一般社団法人アニマルウェルフェア東京,https://prtimes.jp/main/html/rd/p/000000021.000059077.html,info@anifare.jp,03-6456-2990,横田）,ライフスタイル,2023-07-07 10:50:08,"",""
株式会社東海典礼,https://prtimes.jp/main/html/rd/p/000000007.000092368.html,kikaku@tokaitenrei.com,"",今泉,ライフスタイル,2023-07-07 10:50:29,"",""
Gaussy株式会社,https://prtimes.jp/main/html/rd/p/000000013.000103326.html,toiawase.warex@gaussy.com,"","",ライフスタイル,2023-07-07 10:50:39,"",""
エシカル・スピリッツ株式会社,https://prtimes.jp/main/html/rd/p/000000058.000054781.html,pr@ethicalspirits.jp,03-6427-0009,"",ライフスタイル,2023-07-07 10:50:58,"",""
ミズノ株式会社,https://prtimes.jp/main/html/rd/p/000000424.000009202.html,kouhou@mizuno.co.jp,06-6614-8000,"",ライフスタイル,2023-07-07 10:51:25,"",""
YOKOHAMA　Station　City　運営協議会,https://prtimes.jp/main/html/rd/p/000000013.000102112.html,yokohamastationcity@jreast.co.jp,"","",ライフスタイル,2023-07-07 10:51:29,"",""
株式会社サードプラネット,https://prtimes.jp/main/html/rd/p/000000029.000062298.html,info-pr@3rdplanet.jp,045-914-7381,石井・山根,ライフスタイル,2023-07-07 10:51:59,"",""
株式会社丸留,https://prtimes.jp/main/html/rd/p/000000002.000066096.html,t.iuchi@marutome.jp,06-6351-1045,井内（いうち）,ライフスタイル,2023-07-07 10:52:11,"",""
mui Lab株式会社,https://prtimes.jp/main/html/rd/p/000000051.000030640.html,press@muilab.com,075-708-8660,弓削（ゆげ）,ライフスタイル,2023-07-07 10:52:28,"",""
萩原株式会社,https://prtimes.jp/main/html/rd/p/000000005.000084404.html,tsukimoto@e-hagihara.co.jp,086-465-6016,商品部 月本,ライフスタイル,2023-07-07 10:52:45,"",""
横浜市,https://prtimes.jp/main/html/rd/p/000001168.000013670.html,kouhou@zoorasia.org,"",　久保田・石川,ライフスタイル,2023-07-07 10:53:19,"",""
株式会社エヌエフエー,https://prtimes.jp/main/html/rd/p/000000006.000103746.html,manage1@nfa-g.com,03-3735-0903,"",ライフスタイル,2023-07-07 10:53:49,"",""
ボダムジャパン株式会社,https://prtimes.jp/main/html/rd/p/000000011.000059276.html,contactshopjp@bodum.com,03-5775-0681,"",ライフスタイル,2023-07-07 10:53:56,"",""
株式会社パイロットコーポレーション,https://prtimes.jp/main/html/rd/p/000000037.000045551.html,h.ichigo@fullhouse.jp,"",市古・阿部,ライフスタイル,2023-07-07 10:54:40,"",""
株式会社バンダイ,https://prtimes.jp/main/html/rd/p/000000063.000035829.html,matsutaka@bandai.co.jp,"","",ライフスタイル,2023-07-07 10:55:57,"",""
株式会社ミッション,https://prtimes.jp/main/html/rd/p/000000007.000053396.html,info@mission-int.jp,06-4860-6550,谷口,ライフスタイル,2023-07-07 10:56:03,"",""
日新火災海上保険株式会社,https://prtimes.jp/main/html/rd/p/000000012.000107664.html,tem.kouhou@nisshinfire.co.jp,03-3292-8000,藤澤、土方（ひじかた）、萩原（はぎわら）,ライフスタイル,2023-07-07 10:56:59,"",""
株式会社MonotaRO,https://prtimes.jp/main/html/rd/p/000000354.000000537.html,pr@monotaro.com,06-4869-7111,平尾,ライフスタイル,2023-07-07 10:57:07,"",""
株式会社アクアバンク,https://prtimes.jp/main/html/rd/p/000000093.000027158.html,ir@aqua-bank.co.jp,06-6265-1034,"",ライフスタイル,2023-07-07 10:57:32,"",""
公益財団法人佐賀県産業振興機構 さが県産品流通デザイン公社,https://prtimes.jp/main/html/rd/p/000000081.000077674.html,furukawa-minoru@mb.infosaga.or.jp,0952-20-5601,　古川・楢崎,ライフスタイル,2023-07-07 10:57:35,"",""
株式会社 葉山社中,https://prtimes.jp/main/html/rd/p/000000049.000021636.html,tomygerero@gmail.com,050-6877-5766,冨永,ライフスタイル,2023-07-07 10:57:40,"",""
株式会社　大丸松坂屋百貨店,https://prtimes.jp/main/html/rd/p/000001980.000025003.html,miyu.hayashi@jfr.co.jp,03-6865-7629,林美結,ライフスタイル,2023-07-07 10:58:01,"",""
フランチャイズビジネスインキュベーション株式会社,https://prtimes.jp/main/html/rd/p/000000015.000107560.html,kouhou@fbi-co.jp,"",松本,ライフスタイル,2023-07-07 10:58:23,"",""
小豆島ヘルシーランド株式会社,https://prtimes.jp/main/html/rd/p/000000094.000005189.html,Mail.pr@healthyolive.com,0879-62-7111,/ 柳生智英子,ライフスタイル,2023-07-07 10:58:39,"",""
株式会社壺中天,https://prtimes.jp/main/html/rd/p/000000001.000124486.html,shimai@ko-chu-ten.com,"","",ライフスタイル,2023-07-07 10:58:56,"",""
イマジニア株式会社,https://prtimes.jp/main/html/rd/p/000000152.000011837.html,pr@imagineer.co.jp,03-3343-8911,"",ライフスタイル,2023-07-07 10:59:23,"",""
野口観光マネジメント株式会社,https://prtimes.jp/main/html/rd/p/000000771.000019483.html,sansuirou@noguchi-k.co.jp,0143-84-2350,　予約　力石　正和,ライフスタイル,2023-07-07 11:00:38,"",""
株式会社LIXIL住宅研究所,https://prtimes.jp/main/html/rd/p/000000111.000074287.html,kazuhiko.chigira@lixil.com,03-5626-8251,"",ライフスタイル,2023-07-07 11:01:19,"",""
MHD モエ ヘネシー ディアジオ株式会社,https://prtimes.jp/main/html/rd/p/000000631.000006986.html,KRUG@ssu.co.jp,03-5217-9777,矢野杏奈、田中菜月,ライフスタイル,2023-07-07 11:01:25,"",""
ヤマチユナイテッド,https://prtimes.jp/main/html/rd/p/000000090.000019420.html,nakano@johnsonhome.co.jp,"",マーケティング室　中野,ライフスタイル,2023-07-07 11:01:34,"",""
FULMA株式会社,https://prtimes.jp/main/html/rd/p/000000054.000020934.html,media@fulma.co.jp,"","",ライフスタイル,2023-07-07 11:03:08,"",""
株式会社エントリー,https://prtimes.jp/main/html/rd/p/000000033.000029741.html,mkonishi@entry-inc.jp,03-6302-0303,"",ライフスタイル,2023-07-07 11:03:20,"",""
S.RIDE株式会社,https://prtimes.jp/main/html/rd/p/000000132.000036935.html,pr@newstech.co.jp,"",林・井上 TEL：0355448775 / E-MAIL：pr@newstech.co.jp,ライフスタイル,2023-07-07 11:03:26,"",""
株式会社ニューステクノロジー,https://prtimes.jp/main/html/rd/p/000000174.000041209.html,pr@newstech.co.jp,03-5544-8775,林・井上,ライフスタイル,2023-07-07 11:04:01,"",""
株式会社プレスビー,https://prtimes.jp/main/html/rd/p/000000010.000110280.html,companywide@presby.co.jp,044-543-9171,木村・中野,ライフスタイル,2023-07-07 11:04:19,"",""
株式会社Sirusi,https://prtimes.jp/main/html/rd/p/000000031.000035850.html,info@sirusi.jp,06-4400-5148,盛　佳男,ライフスタイル,2023-07-07 11:05:41,"",""
一般社団法人埼玉県物産観光協会,https://prtimes.jp/main/html/rd/p/000000098.000047262.html,tour@saitamadmo.org,048-647-0500,藤本,ライフスタイル,2023-07-07 11:05:56,"",""
一般社団法人医療開発基盤研究所,https://prtimes.jp/main/html/rd/p/000000006.000114508.html,Info@ji4pe.tokyo,080-3523-9261,事務局,ライフスタイル,2023-07-07 11:06:21,"",""
ライフイズテック株式会社,https://prtimes.jp/main/html/rd/p/000000209.000019771.html,pr@lifeistech.co.jp,"",亀田・脇本),ライフスタイル,2023-07-07 11:06:33,"",""
生活協同組合連合会 コープ自然派事業連合,https://prtimes.jp/main/html/rd/p/000000003.000121079.html,kanae.tanaka10@shizenha.co.jp,078-998-0850,】田中 可奈恵,ライフスタイル,2023-07-07 11:06:50,"",""
一般社団法人 Arch to Hoop 沖縄,https://prtimes.jp/main/html/rd/p/000000001.000122850.html,ken@kizasu.jp,"",繁田　謙,ライフスタイル,2023-07-07 11:07:19,"",""
株式会社テイクアンドギヴ・ニーズ,https://prtimes.jp/main/html/rd/p/000000189.000012799.html,pr@tgn.co.jp,03-6833-1122,"",ライフスタイル,2023-07-07 11:07:36,"",""
株式会社寿五郎,https://prtimes.jp/main/html/rd/p/000000012.000036990.html,info@k-goro.com,"","",ライフスタイル,2023-07-07 11:08:05,"",""
合同会社ベターデイズラボ,https://prtimes.jp/main/html/rd/p/000000013.000065877.html,bdl_pr@sustainable.co.jp,"",有山・山崎・牛原,ライフスタイル,2023-07-07 11:08:29,"",""
株式会社小田急ＳＣディベロップメント,https://prtimes.jp/main/html/rd/p/000000115.000063373.html,odakyuscd_pr@vectorinc.co.jp,03-3349-2131,備前、菱沼,ライフスタイル,2023-07-07 11:08:36,"",""
EVEBOT　JAPAN株式会社,https://prtimes.jp/main/html/rd/p/000000015.000106216.html,tomygerero@gmail.com,0568-75-7577,冨永,ライフスタイル,2023-07-07 11:08:55,"",""
株式会社コスモスホテルマネジメント,https://prtimes.jp/main/html/rd/p/000000067.000081858.html,info-pr@chm.cigr.co.jp,03-5444-3600,　明石 真実,ライフスタイル,2023-07-07 11:09:18,"",""
株式会社ラドンナ,https://prtimes.jp/main/html/rd/p/000000149.000001231.html,ladonna@vectorinc.co.jp,"",前田・長嶋・加藤・草野・松村,ライフスタイル,2023-07-07 11:09:44,"",""
株式会社リビタ,https://prtimes.jp/main/html/rd/p/000000191.000008644.html,pr@rebita.co.jp,"","",ライフスタイル,2023-07-07 11:10:25,"",""
株式会社 小倉山荘,https://prtimes.jp/main/html/rd/p/000000001.000124444.html,okazawa@hamamiya.co.jp,075-951-1404,岡澤,ライフスタイル,2023-07-07 11:10:47,"",""
アライドアーキテクツ株式会社,https://prtimes.jp/main/html/rd/p/000000218.000058547.html,press@aainc.co.jp,03-6408-2791,澤田,ライフスタイル,2023-07-07 11:11:26,"",""
株式会社　丸栄,https://prtimes.jp/main/html/rd/p/000000004.000105724.html,maruei@circus.ocn.jp,0761-21-6351,水上弘子,ライフスタイル,2023-07-07 11:11:49,"",""
公益財団法人　山田進太郎D&I財団,https://prtimes.jp/main/html/rd/p/000000016.000083893.html,saori.osu@shinfdn.org,"",大洲,ライフスタイル,2023-07-07 11:11:55,"",""
株式会社３０２,https://prtimes.jp/main/html/rd/p/000000002.000121699.html,pr@302inc.jp,"",宮地,ライフスタイル,2023-07-07 11:12:18,"",""
ヒルトン,https://prtimes.jp/main/html/rd/p/000000097.000033161.html,Press_Office_JKM@hilton.com,"","",ライフスタイル,2023-07-07 11:12:31,"",""
一般社団法人ナスコンバレー協議会,https://prtimes.jp/main/html/rd/p/000000007.000089992.html,ochiai@kissandcry.me,"","",ライフスタイル,2023-07-07 11:12:48,"",""
一般社団法人千代田区観光協会,https://prtimes.jp/main/html/rd/p/000000058.000064048.html,chiyoda-kanko@prap.co.jp,03-3556-0391,木谷、齊藤,ライフスタイル,2023-07-07 11:12:53,"",""
株式会社　野乃鳥,https://prtimes.jp/main/html/rd/p/000000006.000064625.html,press@nonotory.jp,072-737-7314,常住,ライフスタイル,2023-07-07 11:13:00,"",""
きょうの日本酒株式会社,https://prtimes.jp/main/html/rd/p/000000029.000105219.html,press@kyouno.jp,"",小川,ライフスタイル,2023-07-07 11:13:10,"",""
株式会社ナルネットコミュニケーションズ,https://prtimes.jp/main/html/rd/p/000000023.000066010.html,jimu@jarwa.or.jp,"","",ライフスタイル,2023-07-07 11:13:25,"",""
合同会社WaterGate,https://prtimes.jp/main/html/rd/p/000000006.000116262.html,sugimura@watergate.co.jp,"",杉村,ライフスタイル,2023-07-07 11:13:46,"",""
日本パレットレンタル株式会社,https://prtimes.jp/main/html/rd/p/000000025.000102973.html,pr@jpr.co.jp,03-6895-5200,"",ライフスタイル,2023-07-07 11:13:52,"",""
大和ハウス工業株式会社,https://prtimes.jp/main/html/rd/p/000001933.000002296.html,info@jmj.tmu.ac.jp,06-6346-2111,　根岸,ライフスタイル,2023-07-07 11:14:01,"",""
カツデン株式会社,https://prtimes.jp/main/html/rd/p/000000001.000125308.html,release@katzden.co.jp,03-5812-2291,"",ライフスタイル,2023-07-07 11:14:15,"",""
"American Express International, Inc.",https://prtimes.jp/main/html/rd/p/000000036.000099463.html,Rie.Matsumoto@aexp.com,"","",ライフスタイル,2023-07-07 11:14:21,"",""
一般社団法人　日本自動車連盟（JAF）【地方】,https://prtimes.jp/main/html/rd/p/000004637.000010088.html,kanagawa-jigyo@o3.jaf.or.jp,03-3578-2811,"",ライフスタイル,2023-07-07 11:15:15,"",""
株式会社イル デザイン,https://prtimes.jp/main/html/rd/p/000000002.000119940.html,info@il-design.co.jp,03-6459-3766,栗原優,ライフスタイル,2023-07-07 11:15:47,"",""
株式会社KOMPEITO,https://prtimes.jp/main/html/rd/p/000000064.000015058.html,sayuri_shirai@officedeyasai.jp,03-6419-7144,白井小百合（シライサユリ）,ライフスタイル,2023-07-07 11:16:42,"",""
日本航空株式会社,https://prtimes.jp/main/html/rd/p/000000855.000030684.html,cb.pr@cb-cloud.com,03-5460-3121,冨田　　TEL：03-6262-9740 email：cb.pr@cb-cloud.com,ライフスタイル,2023-07-07 11:17:14,"",""
株式会社centerwave,https://prtimes.jp/main/html/rd/p/000000006.000042141.html,iwasakiryoma@centerwave.co.jp,052-684-6170,岩崎,ライフスタイル,2023-07-07 11:17:30,"",""
88Base株式会社,https://prtimes.jp/main/html/rd/p/000000006.000108586.html,info@asa-ichi.com,"",　：山田,ライフスタイル,2023-07-07 11:17:36,"",""
株式会社Groovement,https://prtimes.jp/main/html/rd/p/000000012.000079683.html,info@groove-ment.com,03-4500-1800,"",ライフスタイル,2023-07-07 11:18:03,"",""
株式会社シティハウス,https://prtimes.jp/main/html/rd/p/000000001.000119928.html,office@cityhouse.co.jp,042-776-8666,"",ライフスタイル,2023-07-07 11:18:10,"",""
株式会社いつも,https://prtimes.jp/main/html/rd/p/000000077.000045980.html,a-uemura@itsumo365.co.jp,03-4580-1365,"",ライフスタイル,2023-07-07 11:18:27,"",""
日本コロムビア株式会社,https://prtimes.jp/main/html/rd/p/000003197.000019470.html,wada_ikuma@columbia.co.jp,03-5962-6990,"",ライフスタイル,2023-07-07 11:18:33,"",""
GoGlobal株式会社,https://prtimes.jp/main/html/rd/p/000000011.000116661.html,info@goglobalgeo.com,"",飯田,ライフスタイル,2023-07-07 11:19:03,"",""
株式会社funbox,https://prtimes.jp/main/html/rd/p/000000003.000115660.html,info@decocho.com,03-6899-2255,"",ライフスタイル,2023-07-07 11:19:32,"",""
LEGOLAND Japan合同会社,https://prtimes.jp/main/html/rd/p/000000054.000025163.html,press@LEGOLAND.jp,052-740-8457,"",ライフスタイル,2023-07-07 11:20:42,"",""
株式会社　池田模範堂,https://prtimes.jp/main/html/rd/p/000000016.000045294.html,t-onouchi@vectorinc.co.jp,076-472-1133,河村、川口、尾之内,ライフスタイル,2023-07-07 11:20:47,"",""
オリオンビール株式会社,https://prtimes.jp/main/html/rd/p/000000138.000044607.html,-pr@orionbeer.co.jp,098-911-5229,"",ライフスタイル,2023-07-07 11:21:27,"",""
株式会社壮関,https://prtimes.jp/main/html/rd/p/000000056.000025299.html,saori.yamamoto@sokan.jp,0287-48-3301,山本　紗織,ライフスタイル,2023-07-07 11:21:38,"",""
株式会社Colors,https://prtimes.jp/main/html/rd/p/000000002.000078865.html,contact@color-s.net,"",坂本,ライフスタイル,2023-07-07 11:21:51,"",""
auコマース&ライフ株式会社,https://prtimes.jp/main/html/rd/p/000000193.000035663.html,pr@au-cl.co.jp,"",倉持,ライフスタイル,2023-07-07 11:22:00,"",""
学校法人真宗大谷学園大谷大学,https://prtimes.jp/main/html/rd/p/000000009.000103810.html,bp1@materialpr.jp,075-432-3131,］山下：070-8792-1098 / 大城：090-6749-3248,ライフスタイル,2023-07-07 11:22:15,"",""
西武造園株式会社,https://prtimes.jp/main/html/rd/p/000000369.000034888.html,kouhou@seibu-la.co.jp,03-4531-3600,古橋（ふるはし）、前杉（まえすぎ）、佐藤（さとう）,ライフスタイル,2023-07-07 11:22:24,"",""
Believe shine company,https://prtimes.jp/main/html/rd/p/000000001.000123045.html,believe-shine@leto.eonet.ne.jp,"",村上,ライフスタイル,2023-07-07 11:22:29,"",""
株式会社家's,https://prtimes.jp/main/html/rd/p/000000006.000110139.html,masanori@iyes.co.jp,050-5052-1657,伊藤　メールアドレス：masanori@iyes.co.jp,ライフスタイル,2023-07-07 11:23:24,"",""
株式会社 マザー牧場,https://prtimes.jp/main/html/rd/p/000000002.000124171.html,ckobayashi@motherfarm.co.jp,0439-37-3211,株式会社マザー牧場,ライフスタイル,2023-07-07 11:24:00,"",""
株式会社クオカード,https://prtimes.jp/main/html/rd/p/000000167.000032053.html,quocardpay_pr@signalinc.co.jp,03-3243-2211,"",ライフスタイル,2023-07-07 11:24:15,"",""
株式会社ガネーシャ,https://prtimes.jp/main/html/rd/p/000000045.000087376.html,ayano.iwasaki@ganesha-inc.net,076-491-5677,岩崎》,ライフスタイル,2023-07-07 11:25:21,"",""
ソーシャル・アイディー株式会社,https://prtimes.jp/main/html/rd/p/000000001.000115572.html,info@social-ideee.com,"",菊池,ライフスタイル,2023-07-07 11:26:14,"",""
別府競輪場,https://prtimes.jp/main/html/rd/p/000000013.000035973.html,yoshimochi@daisen21.co.jp,"",後藤・吉用,ライフスタイル,2023-07-07 11:26:22,"",""
日世株式会社,https://prtimes.jp/main/html/rd/p/000000055.000068051.html,press@nissei-com.co.jp,072-624-0001,松島,ライフスタイル,2023-07-07 11:26:42,"",""
東京ステーション開発株式会社,https://prtimes.jp/main/html/rd/p/000000047.000037893.html,jta-pr@kyodo-pr.co.jp,"",西室、中込、中井,ライフスタイル,2023-07-07 11:27:19,"",""
認定NPO法人ニュースタート事務局,https://prtimes.jp/main/html/rd/p/000000017.000073259.html,info@newstart-jimu.org,047-307-3676,名川）,ライフスタイル,2023-07-07 11:27:28,"",""
Koala Sleep Japan 株式会社,https://prtimes.jp/main/html/rd/p/000000111.000033793.html,a.goto@koala.com,080-6644-7704,"",ライフスタイル,2023-07-07 11:27:34,"",""
京橋白木株式会社,https://prtimes.jp/main/html/rd/p/000000009.000093153.html,qs@kyobashi-shiraki.com,03-5636-9880,"",ライフスタイル,2023-07-07 11:27:53,"",""
株式会社CHOKA'S,https://prtimes.jp/main/html/rd/p/000000001.000125212.html,info@south-horizon.jp,06-6450-8118,池添,ライフスタイル,2023-07-07 11:28:12,"",""
クリアン,https://prtimes.jp/main/html/rd/p/000000001.000124360.html,pr@kurian.ne.jp,"","",ライフスタイル,2023-07-07 11:28:51,"",""
三和ホールディングス株式会社,https://prtimes.jp/main/html/rd/p/000000127.000061968.html,kouhou@sanwa-estate.com,092-471-5528,梶原,ライフスタイル,2023-07-07 11:29:34,"",""
エア・ウォーター株式会社,https://prtimes.jp/main/html/rd/p/000000027.000114852.html,info-h@awi.co.jp,06-6252-5411,"",ビジネス,2023-07-07 11:30:18,"",""
株式会社シーディーアイ,https://prtimes.jp/main/html/rd/p/000000029.000032413.html,kojima@bellmc.co.jp,050-5491-7123,渡邉,ビジネス,2023-07-07 11:30:36,"",""
株式会社OUI,https://prtimes.jp/main/html/rd/p/000000034.000064389.html,pr@ouiinc.jp,050-3554-3339,"",ビジネス,2023-07-07 11:32:02,"",""
月面産業ビジョン協議会,https://prtimes.jp/main/html/rd/p/000000006.000124097.html,livc@jsforum.or.jp,"",小林,ビジネス,2023-07-07 11:34:08,"",""
三井不動産商業マネジメント株式会社,https://prtimes.jp/main/html/rd/p/000000036.000105392.html,lalaport-tokai-pr@vectorinc.co.jp,"",伊藤・近藤,ビジネス,2023-07-07 11:35:50,"",""
ONE-VALUE株式会社,https://prtimes.jp/main/html/rd/p/000000043.000088909.html,contact@onevalue.jp,080-1980-9493,"",ビジネス,2023-07-07 11:36:59,"",""
株式会社日本トリム,https://prtimes.jp/main/html/rd/p/000000102.000023574.html,pr@nihon-trim.co.jp,"","",ビジネス,2023-07-07 11:37:27,"",""
飯能市,https://prtimes.jp/main/html/rd/p/000000198.000020170.html,gesui@city.hanno.lg.jp,042-973-2111,"",ビジネス,2023-07-07 11:37:53,"",""
大和ハウス工業株式会社,https://prtimes.jp/main/html/rd/p/000001934.000002296.html,press@elecom.co.jp,06-6346-2111,"",ビジネス,2023-07-07 11:38:37,"",""
国立研究開発法人産業技術総合研究所,https://prtimes.jp/main/html/rd/p/000000026.000113674.html,akio.kawasaki@aist.go.jp,029-861-2000,"",ビジネス,2023-07-07 11:41:24,"",""
JBNインターナショナル株式会社,https://prtimes.jp/main/html/rd/p/000000019.000027326.html,noriaki.nakagawa@bni.jp,0422-71-3161,中川紀彰,ビジネス,2023-07-07 11:41:47,"",""
株式会社ADKホールディングス,https://prtimes.jp/main/html/rd/p/000000235.000004328.html,mspr@adk.jp,03-6830-3855,"",ビジネス,2023-07-07 11:41:58,"",""
KCJ GROUP 株式会社,https://prtimes.jp/main/html/rd/p/000000079.000078157.html,press@kidzania.jp,"",小西、大橋）,ビジネス,2023-07-07 11:42:09,"",""
バンドー化学株式会社,https://prtimes.jp/main/html/rd/p/000000085.000079403.html,information@bandogrp.com,078-304-2935,"",ビジネス,2023-07-07 11:42:16,"",""
三菱地所・サイモン株式会社,https://prtimes.jp/main/html/rd/p/000000346.000009047.html,kouhou@keisei.jp,"",　道吉、中村、張,ビジネス,2023-07-07 11:42:46,"",""
クレド・アセットマネジメント株式会社,https://prtimes.jp/main/html/rd/p/000000009.000099954.html,info@credo-asset.com,03-6807-5873,"",ビジネス,2023-07-07 11:43:19,"",""
株式会社コスモスモア,https://prtimes.jp/main/html/rd/p/000000032.000023149.html,pr@cm.cigr.co.jp,"",吉町・小倉,ビジネス,2023-07-07 11:44:03,"",""
電源開発株式会社,https://prtimes.jp/main/html/rd/p/000000007.000117282.html,rohini@blue-comms.com,"","",ビジネス,2023-07-07 11:44:12,"",""
豊中市,https://prtimes.jp/main/html/rd/p/000000491.000078420.html,hishoka@city.toyonaka.osaka.jp,06-6858-5050,西野・髙橋,ビジネス,2023-07-07 11:44:25,"",""
アマゾンジャパン合同会社,https://prtimes.jp/main/html/rd/p/000001700.000004612.html,jp-ops-pr@amazon.com,"","",ビジネス,2023-07-07 11:44:35,"",""
株式会社リンクアンドモチベーション,https://prtimes.jp/main/html/rd/p/000000430.000006682.html,mcs@lmi.ne.jp,03-6853-8111,玉井,ビジネス,2023-07-07 11:44:59,"",""
株式会社影山鉄工所,https://prtimes.jp/main/html/rd/p/000000005.000106320.html,h.tsubouchi@kageyama-co.jp,055-923-3000,山本・坪内,ビジネス,2023-07-07 11:45:04,"",""
国際航業株式会社,https://prtimes.jp/main/html/rd/p/000000038.000086246.html,info-kkc@kk-grp.jp,03-6362-5931,"",ビジネス,2023-07-07 11:46:56,"",""
認定NPO法人D×P,https://prtimes.jp/main/html/rd/p/000000023.000053323.html,info@dreampossibility.com,06-7222-3001,熊井,ビジネス,2023-07-07 11:47:28,"",""
独立行政法人製品評価技術基盤機構,https://prtimes.jp/main/html/rd/p/000000119.000092488.html,tso@nite.go.jp,"",) 国際評価技術本部　電力安全センター長　田中　栄一,ビジネス,2023-07-07 11:47:54,"",""
NPO法人 Kids Future Passport,https://prtimes.jp/main/html/rd/p/000000001.000124773.html,nozomiino@kids-future-passport.org,"",猪野,ビジネス,2023-07-07 11:49:02,"",""
株式会社SandBox,https://prtimes.jp/main/html/rd/p/000000006.000039333.html,info@sandbox-vr.com,"",菊地）,ビジネス,2023-07-07 11:49:07,"",""
海と日本プロジェクト広報事務局,https://prtimes.jp/main/html/rd/p/000001724.000077920.html,agesaganacco@gmail.com,03-6441-2561,吉田静香,ビジネス,2023-07-07 11:49:23,"",""
株式会社サンガジャパン,https://prtimes.jp/main/html/rd/p/000000002.000124242.html,info@sanga-kaigo.co.jp,"","",ビジネス,2023-07-07 11:49:46,"",""
相模原市役所,https://prtimes.jp/main/html/rd/p/000000224.000072959.html,media@city.sagamihara.kanagawa.jp,042-754-1111,遠藤,ビジネス,2023-07-07 11:50:09,"",""
株式会社フェイガー,https://prtimes.jp/main/html/rd/p/000000009.000114514.html,press@faeger.co,03-6824-0769,長谷川・宮坂,ビジネス,2023-07-07 11:51:09,"",""
日揮ホールディングス株式会社,https://prtimes.jp/main/html/rd/p/000000150.000065135.html,Tnsc.Info@tn-sanso.co.jp,045-682-1111,"",ビジネス,2023-07-07 11:51:52,"",""
株式会社RECOMO,https://prtimes.jp/main/html/rd/p/000000006.000056436.html,info@recomo.jp,"","",ビジネス,2023-07-07 11:52:23,"",""
株式会社博報堂ＤＹメディアパートナーズ,https://prtimes.jp/main/html/rd/p/000000149.000038657.html,mp.webmaster@hakuhodody-media.co.jp,03-6441-9347,"",ビジネス,2023-07-07 11:52:29,"",""
株式会社SOYOKAZE,https://prtimes.jp/main/html/rd/p/000000023.000034852.html,y-katakura@sykz.co.jp,"","",ビジネス,2023-07-07 11:52:45,"",""
公益財団法人国際文化会館,https://prtimes.jp/main/html/rd/p/000000037.000054811.html,pr@i-house.or.jp,"","",ビジネス,2023-07-07 11:54:44,"",""
山田コンサルティンググループ株式会社,https://prtimes.jp/main/html/rd/p/000000013.000054241.html,ycgpr@yamada-cg.co.jp,03-6212-2510,渡邉,ビジネス,2023-07-07 11:55:27,"",""
株式会社アイクリエイト,https://prtimes.jp/main/html/rd/p/000000017.000058091.html,pr@i-crt.jp,03-6741-7189,内山）,ビジネス,2023-07-07 11:56:37,"",""
アストラゼネカ株式会社,https://prtimes.jp/main/html/rd/p/000000446.000024308.html,JPN.Ex.Comm@astrazeneca.com,06-4802-3600,"",ビジネス,2023-07-07 11:56:47,"",""
横浜市,https://prtimes.jp/main/html/rd/p/000001167.000013670.html,ks-tayou@city.yokohama.jp,"",課長　安藤 成晃,ビジネス,2023-07-07 11:58:03,"",""
農ライファ―ズ株式会社,https://prtimes.jp/main/html/rd/p/000000024.000055270.html,nou-x@noulifers.com,03-6206-4789,堀江,ビジネス,2023-07-07 11:58:33,"",""
エグザクトサイエンス株式会社,https://prtimes.jp/main/html/rd/p/000000001.000125351.html,gcihjp.pr@gcihealth.com,03-4540-7680,山田,ビジネス,2023-07-07 11:58:36,"",""
トリナ・ソーラー・ジャパン株式会社,https://prtimes.jp/main/html/rd/p/000000179.000008483.html,trinasolar@vectorinc.co.jp,"",三島、田邊,ビジネス,2023-07-07 11:59:10,"",""
株式会社ARTEE,https://prtimes.jp/main/html/rd/p/000000031.000038864.html,info@artee-jp.com,086-800-1326,"",テクノロジー,2023-07-14 09:09:07,"",""
株式会社ヴァーテックス,https://prtimes.jp/main/html/rd/p/000000067.000062099.html,k-takahashi@vertex-group.co.jp,025-282-9051,高橋,テクノロジー,2023-07-14 09:09:17,"",""
